Position,X_Coordinate,Y_Coordinate
1,21.53041681593419,0.0
2,29.625314559028528,0.0
3,25.32223985900122,0.0
4,22.17549819422778,0.0
5,21.689960307702318,0.0
6,20.74813621641871,0.0
7,20.84307494537229,0.0
8,19.664502032421368,0.0
9,18.70098190809144,0.0
10,13.214388762368037,0.0
11,10.056142176270823,0.0
12,9.299631450356932,0.0
13,9.343143907929512,0.0
14,9.32170813381262,-0.0069839544233709595
15,12.916013435711163,0.0
16,11.020837243218297,0.0
17,14.414220285054382,0.0
18,9.428091175994235,1.716258011602354
19,0.0,23.87933664636752
20,0.0,29.0406435085789
21,0.0,31.856466822084002
22,0.0,29.992130972194214
23,0.0,24.91546649944497
24,0.0,24.723852359108374
25,0.0,26.92490030046966
26,0.0,27.030644089332103
27,0.0,23.672671724717137
28,0.0,23.081151235929
29,0.0,22.818076161489977
30,0.0,28.489071598819635
31,0.0,29.911464045142797
32,0.0,30.49865581707594
33,0.0,22.6
34,0.0,34.877104993623774
35,0.0,36.328362286624035
36,0.0,41.39774980354482
37,0.0,41.63411369029333
38,0.0,41.53100058568467
39,0.0,41.67390464977961
40,0.0,41.198152931618885
41,0.6039531725486554,39.76152223064741
42,2.144328354075134,43.508978851279544
43,5.207734509222659,48.37999087873849
44,6.597376629982759,49.59411943568241
45,5.913812184275925,38.05779863674509
46,10.824969411504389,55.37684890304932
47,18.017661408671437,55.949891699568155
48,10.555154306292694,56.0
49,10.856523133603107,55.990267187237656
50,10.057496641477707,56.0
51,14.840978343544727,55.99999999999999
52,15.609516107779424,55.99999999999999
53,19.65902165645527,55.99999999999999
54,21.588979870760024,56.0
55,23.432980436295185,56.0
56,24.13878635497738,55.993630685133546
57,24.475681222672577,55.998540308094775
58,23.937565788981217,55.99209527071924
59,21.003654973524426,55.984318764132375
