Position,X_Coordinate,Y_Coordinate
1,29.485141505450684,1.6225746415922335
2,29.87811776231085,0.0
3,27.64237439973796,0.0
4,21.932850029010392,0.0
5,21.36537074231762,0.0
6,20.886386458004306,0.0
7,20.733537629048847,0.0
8,20.670941919170527,0.0
9,17.264467255768064,0.0
10,15.011602219330783,0.0
11,11.453221821073958,0.0
12,9.175752755211144,0.0
13,9.303347214658052,0.0
14,11.341375723230838,0.0
15,9.177248626416516,-1.0692276495186983
16,4.364848107532285,3.236047543982099
17,14.379898685198306,3.405997891271041
18,4.933728215984146,7.552488949523581
19,0.0,16.785538486008488
20,0.0,17.103229303833068
21,0.0,15.831047126482611
22,0.0,16.840513307065624
23,0.0,15.729309383743972
24,0.0,15.730293698088817
25,0.0,16.402094373382532
26,0.0,17.135676061942455
27,0.0,21.564319728883657
28,0.0,15.6
30,0.0,15.6
31,0.0,15.6
33,0.0,31.33516477451951
34,0.0,38.066081929589025
35,0.0,40.18010228138587
36,0.0,40.65489309919693
37,0.0,43.629347504019265
38,0.004538327514139906,44.04396546239054
39,0.0018292697153720222,44.19514576556369
40,0.0,44.166174498991644
41,0.020415518155077573,44.225607146724045
42,1.466595387421135,47.35416025161749
43,4.441364984143602,51.20023099408875
44,4.592234288900765,54.974018963407616
45,6.041106234762887,40.64208431215689
46,5.0349971250496495,56.00000000000001
47,4.805444278748044,56.0
48,7.778755958720908,56.0
49,9.004834865815136,56.0
50,10.686009173356254,56.00000000000001
51,14.417759265471704,55.99999999999999
52,13.681077160254324,56.0
53,16.934376832869187,56.0
54,17.490670032792018,56.0
55,20.001752459980793,55.99999999999999
56,24.7626711712364,56.0
57,25.079178902658125,56.00000000000001
58,24.96843624850092,55.99999999999999
59,24.83069306556753,56.0
