Position,X_Coordinate,Y_Coordinate
1,29.99677765598935,-0.027992500070684125
2,29.249138008460303,0.0
3,30.020998434707106,0.0
4,22.541047015398476,0.0
5,21.280266251360658,0.0
6,20.792772472280507,0.0
7,20.47243988598662,0.0
8,20.56239092319152,0.0
9,12.257410468486283,0.0
10,9.712558874974855,0.0
11,9.268236341269322,0.0
12,9.24889168726853,0.0
13,9.208694501086235,-0.017700466838664677
14,9.082752584218573,-0.13910925510319191
15,4.162082305995258,-5.977282936373316
16,5.932716356420473,-2.7340098349432393
17,9.43595719393047,-0.7543012244410312
18,8.344050994049697,-0.12771919477520804
19,-0.14700928125623727,24.53280757147224
20,0.0,28.894895372825147
21,0.0,24.084682675239534
22,0.0,26.62631547716127
23,-0.2033958648636055,19.297064512819638
24,0.0,24.075732532434223
25,0.0,27.030644089332103
26,0.0,24.772986327587013
27,0.0,23.314870046978786
28,0.0,22.827568731865647
29,0.0,23.529266642354397
30,0.0,29.033431358972027
31,0.0,30.240910773718117
32,0.0,30.037068253366694
33,0.0,30.311480457019854
34,0.0,30.20529936178219
35,0.0,40.99017648116619
36,0.0,41.40411714533988
37,0.0,40.5952708394065
38,0.0,41.64413388167231
39,0.0,41.67457615697052
40,0.0,41.28408174936782
41,0.0,40.86591872305514
42,0.0,35.459793376316924
43,2.086273673271143,42.169143431992694
44,8.364875853366868,51.68170230008861
45,3.460347994495116,44.09379921367474
46,16.238412935287343,55.71406400522805
47,10.13353115727003,55.985855588526206
48,10.016645931090615,55.997736810612764
49,10.177096392761488,55.99553555871212
50,10.036331093675644,56.0
51,10.143564356435643,56.0
52,10.555154306292694,56.0
53,22.088105803159852,56.0
54,23.432980436295185,56.0
55,24.319725338810585,56.0
56,24.454291516842726,56.0
57,24.442503358522295,56.0
58,24.356435643564357,56.0
59,24.385730084170213,56.0
