Position,X_Coordinate,Y_Coordinate
1,29.96352059739579,-0.027908829056995682
2,29.38258034736848,0.0
3,29.932008736706344,0.0
4,22.457594732176204,0.0
5,21.30361621042,0.0
6,20.78749612589136,0.0
7,20.531080493785943,0.0
8,20.51605177996922,0.0
9,12.675089325760641,0.0
10,9.895232237727372,0.0
11,9.273253209222014,0.0
12,9.254735908529268,0.0
13,9.211242693526978,-0.0171552127861691
14,9.097016180615334,-0.1324559330345354
15,5.335101349679421,-4.970963010218
16,6.374913894235364,-2.4406339645417368
17,10.269142477755606,-0.5955930762885194
18,8.430833332184946,0.4066187076627034
19,-0.10915391758751557,24.585048185300455
20,0.0,28.908722509770595
21,0.0,25.3009953290186
22,-0.11487270256089324,23.95355444290673
23,-0.13744562485915768,21.060512733531603
24,0.0,24.052608967678776
25,0.0,26.974074599003046
26,0.0,24.85309455692788
27,0.0,23.30969555711254
28,0.0,22.842018345057415
29,0.0,23.331098402353312
30,0.0,28.77695404559582
31,0.0,30.18224797133505
32,0.0,30.05373957979534
33,0.0,30.304057952121738
34,0.0,30.313527144432694
35,0.0,40.84467604010104
36,0.0,41.40616004116796
37,0.0,40.79022631369804
38,0.0,41.64067585362256
39,0.0,41.67596313401976
40,0.0,41.29780982119123
41,0.0,40.736730281906816
42,0.7840489626789066,38.61743081979569
43,3.2031679349313746,44.571651651863604
44,8.319397806916216,51.73401160512177
45,5.72395038261857,43.81211269063025
46,15.807066135686279,55.73913144074074
47,10.472717556050423,55.986459249994205
48,10.057676964459386,55.997909251754905
49,10.242018475993468,55.99595961738317
50,10.037342665514878,55.99999999999999
51,10.187207744741142,56.0
52,10.852217422694748,55.999999999999986
53,21.817922885992676,56.0
54,23.331737624689623,56.0
55,24.274751859856703,55.99999999999999
56,24.435176561580917,55.99961411354413
57,24.446205485411614,55.99983712138226
58,24.270350479420873,55.99837543831288
59,24.218499048360826,55.99922462120706
